CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,fragrance_family,all_descriptors
4221-98-1,(-)-(r)-.alpha.-phellandrene,aromatic,medicinal,citrus,aromatic,"['aromatic', 'medicinal', 'citrus']"
512-13-0,(-)-.alpha.-fenchol,earthy,woody,camphoraceous,earthy,"['earthy', 'woody', 'camphoraceous']"
489-40-7,(-)-.alpha.-gurjunene,woody,balsamic,nutty,woody,"['woody', 'balsamic', 'nutty']"
23986-74-5,(-)-germacrene d,woody,spicy,dry,woody,"['woody', 'spicy', 'dry']"
489-86-1,(-)-guaiol,woody,smoky,rose,woody,"['woody', 'smoky', 'rose']"
13837-56-4,"(.+-.)-tetrahydro-2,6,6-trimethyl-2-vinyl-2h-pyrane",citrus,fresh,camphoraceous,citrus,"['citrus', 'fresh', 'camphoraceous']"
1117-61-9,(+)-(r)-citronellol,floral,rose,geranium,floral,"['floral', 'rose', 'geranium']"
4610-11-1,(+)-cis-rose oxide,green,floral,rose,green,"['green', 'floral', 'rose']"
888021-82-7,(+-)-ethyl 3-mercapto-2-methylbutanoate,fruity,food like,pungent,fruity,"['fruity', 'food like', 'pungent']"
17957-94-7,(+)-menthofuran,minty,leafy,herbal,minty,"['minty', 'leafy', 'herbal']"
2216-52-6,(+)-neomenthol,minty,fresh,aromatic,minty,"['minty', 'fresh', 'aromatic']"
67663-01-8,(+/-) 3-methyl-gamma-decalactone,fruity,peach,milky,fruity,"['fruity', 'peach', 'milky']"
156472-94-5,(+/-) ethyl 3-mercaptobutyrate,sulfurous,roasted,sweet,sulfurous,"['sulfurous', 'roasted', 'sweet']"
258823-39-1,(+/-)2-mercapto-2-methylpentan-1-ol,sulfurous,garlic,onion,sulfurous,"['sulfurous', 'garlic', 'onion']"
58475-04-0,(+/-)-4-ethyloctanal,floral,milky,fruity,floral,"['floral', 'milky', 'fruity']"
15892-23-6,(+/-)-butan-2-ol,fruity,sweet,fermented,fruity,"['fruity', 'sweet', 'fermented']"
15932-80-6,(+/-)-pulegone,minty,spearmint,sweet,minty,"['minty', 'spearmint', 'sweet']"
10138-32-6,"(±)-bicyclo[2.2.1]hept-5-ene-2-carboxylic acid, ethyl ester",fruity,tropical-fruit,floral,fruity,"['fruity', 'tropical-fruit', 'floral']"
68877-29-2,"(1,7,7-trimethylbicyclo[2.2.1]hept-2-yl)cyclohexan-1-ol",woody,warm,sandalwood,woody,"['woody', 'warm', 'sandalwood']"
35145-02-9,"(1a,2a,5a)-2,5-dimethylcyclohex-3-ene-1-carbaldehyde",green,grassy,citrus,green,"['green', 'grassy', 'citrus']"
94400-98-3,"(1a.alpha.,4.alpha.,7a.alpha.)-1a,3,3,4,6,6-hexamethyl-1a,2,3,4,5,6,7,7a-
octahydronapth[3,3-b]oxirene",musk like,warm,floral,musk like,"['musk like', 'warm', 'floral']"
389083-83-4,(1-ethoxyethoxy)-cyclododecane,woody,amber,dry,woody,"['woody', 'amber', 'dry']"
35836-73-8,(1r)-nopol,herbal,pine,camphoraceous,herbal,"['herbal', 'pine', 'camphoraceous']"
35836-72-7,(1r)-nopyl acetate,woody,floral,fruity,woody,"['woody', 'floral', 'fruity']"
68489-09-8,"(1r,2s,5r)-n-(4-methoxyphenyl)-5-methyl-2-(1-methylethyl)cyclohexanecarboxamide",minty,fresh,green,minty,"['minty', 'fresh', 'green']"
29461-13-0,"(2.alpha.,4a.alpha.,8.beta.)-hexahydro-1,1,5,5-tetramethyl-2h-2,4a-
methanonaphthalene-8(5h)-one",woody,patchouli,earthy,woody,"['woody', 'patchouli', 'earthy']"
